"Id";"ZipCode";"Place"
1;1000;"Le Chalet-à-Gobet"
2;1000;"Vers-ch.-l.-Blanc"
3;1000;"Montblesson"
4;1003;"Lausanne"
5;1004;"Lausanne"
6;1005;"Lausanne"
7;1006;"Lausanne"
8;1006;"Lausanne"
9;1007;"Lausanne"
10;1008;"Prilly"
11;1008;"Prilly"
12;1008;"Jouxtens-Mézery"
13;1009;"Pully"
14;1010;"Lausanne"
15;1011;"Lausanne"
16;1012;"Lausanne"
17;1015;"Lausanne"
18;1015;"Lausanne"
19;1015;"Lausanne"
20;1018;"Lausanne"
21;1020;"Renens VD"
22;1022;"Chavannes-Renens"
23;1023;"Crissier"
24;1023;"Crissier"
25;1024;"Ecublens VD"
26;1024;"Ecublens VD"
27;1025;"St-Sulpice VD"
28;1026;"Denges"
29;1026;"Echandens"
30;1027;"Lonay"
31;1027;"Lonay"
32;1028;"Préverenges"
33;1029;"Villars-Ste-Croix"
34;1030;"Bussigny"
35;1031;"Mex VD"
36;1032;"Romanel-s-Lausanne"
37;1032;"Romanel-s-Lausanne"
38;1033;"Cheseaux-Lausanne"
39;1033;"Cheseaux-Lausanne"
40;1033;"Cheseaux-Lausanne"
41;1034;"Boussens"
42;1035;"Bournens"
43;1036;"Sullens"
44;1037;"Etagnières"
45;1038;"Bercher"
46;1038;"Bercher"
47;1038;"Bercher"
48;1040;"Echallens"
49;1040;"Villars-le-Terroir"
50;1040;"St-Barthélemy VD"
51;1041;"Dommartin"
52;1041;"Montaubion-Chardon"
53;1041;"Naz"
54;1041;"Poliez-le-Grand"
55;1041;"Poliez-Pittet"
56;1041;"Bottens"
57;1042;"Assens"
58;1042;"Bioley-Orjulaz"
59;1042;"Bettens"
60;1043;"Sugnens"
61;1044;"Fey"
62;1045;"Ogens"
63;1045;"Ogens"
64;1046;"Rueyres"
65;1047;"Oppens"
66;1047;"Oppens"
67;1052;"Mont-sur-Lausanne"
68;1052;"Mont-sur-Lausanne"
69;1053;"Cugy VD"
70;1053;"Cugy VD"
71;1053;"Bretigny-Morrens"
72;1054;"Morrens VD"
73;1055;"Froideville"
74;1058;"Villars-Tiercelin"
75;1059;"Peney-le-Jorat"
76;1059;"Peney-le-Jorat"
77;1061;"Villars-Mendraz"
78;1062;"Sottens"
79;1063;"Chapelle-s-Moudon"
80;1063;"Martherenges"
81;1063;"Boulens"
82;1063;"Peyres-Possens"
83;1063;"Peyres-Possens"
84;1066;"Epalinges"
85;1066;"Epalinges"
86;1068;"Les Monts-de-Pully"
87;1070;"Puidoux"
88;1070;"Puidoux"
89;1070;"Puidoux"
90;1071;"Chexbres"
91;1071;"Chexbres"
92;1071;"Chexbres"
93;1071;"Chexbres"
94;1071;"Rivaz"
95;1071;"Rivaz"
96;1071;"St-Saphorin-Lavaux"
97;1071;"St-Saphorin-Lavaux"
98;1072;"Forel (Lavaux)"
99;1073;"Savigny"
100;1073;"Mollie-Margot"
101;1073;"Mollie-Margot"
102;1076;"Ferlens VD"
103;1077;"Servion"
104;1078;"Essertes"
105;1080;"Les Cullayes"
106;1080;"Les Cullayes"
107;1081;"Montpreveyres"
108;1082;"Corcelles-le-Jorat"
109;1083;"Mézières VD"
110;1083;"Mézières VD"
111;1084;"Carrouge VD"
112;1084;"Carrouge VD"
113;1085;"Vulliens"
114;1088;"Ropraz"
115;1090;"La Croix (Lutry)"
116;1090;"La Croix (Lutry)"
117;1091;"Grandvaux"
118;1091;"Grandvaux"
119;1091;"Aran"
120;1091;"Aran"
121;1091;"Chenaux"
122;1092;"Belmont-Lausanne"
123;1092;"Belmont-Lausanne"
124;1093;"La Conversion"
125;1094;"Paudex"
126;1095;"Lutry"
127;1095;"Lutry"
128;1096;"Cully"
129;1096;"Cully"
130;1096;"Villette (Lavaux)"
131;1097;"Riex"
132;1098;"Epesses"
133;1098;"Epesses"
134;1110;"Morges"
135;1112;"Echichens"
136;1113;"St-Saphorin-Morges"
137;1114;"Colombier VD"
138;1115;"Vullierens"
139;1116;"Cottens VD"
140;1117;"Grancy"
141;1121;"Bremblens"
142;1122;"Romanel-sur-Morges"
143;1123;"Aclens"
144;1124;"Gollion"
145;1125;"Monnaz"
146;1126;"Vaux-sur-Morges"
147;1127;"Clarmont"
148;1128;"Reverolle"
149;1128;"Reverolle"
150;1131;"Tolochenaz"
151;1132;"Lully VD"
152;1134;"Vufflens-Château"
153;1134;"Chigny"
154;1135;"Denens"
155;1136;"Bussy-Chardonney"
156;1141;"Sévery"
157;1142;"Pampigny"
158;1143;"Apples"
159;1143;"Apples"
160;1144;"Ballens"
161;1145;"Bière"
162;1145;"Bière"
